;llave_fecha;dia_valor;mes_valor;mes_texto;anio
0;2018-01-12;1;12;dic;2018
1;2019-01-12;1;12;dic;2019
2;2020-01-12;1;12;dic;2020
3;2021-01-12;1;12;dic;2021
4;2022-01-12;1;12;dic;2022
5;2023-01-12;1;12;dic;2023
6;2017-01-06;1;6;jun;2017
7;2017-01-01;1;1;ene;2017
8;2010-01-11;1;11;nov;2010
9;2011-01-06;1;6;jun;2011
10;2012-01-12;1;12;dic;2012
11;2013-01-04;1;4;abr;2013
12;2014-01-01;1;1;ene;2014
13;2015-01-01;1;1;ene;2015
14;2016-01-01;1;1;ene;2016
15;2019-01-06;1;6;jun;2019
16;2013-01-12;1;12;dic;2013
17;2014-01-12;1;12;dic;2014
18;2015-01-12;1;12;dic;2015
19;2016-01-12;1;12;dic;2016
20;2017-01-12;1;12;dic;2017
21;2018-01-11;1;11;nov;2018
22;2010-01-12;1;12;dic;2010
23;2011-01-12;1;12;dic;2011
24;2005-01-12;1;12;dic;2005
25;2006-01-12;1;12;dic;2006
26;2007-01-12;1;12;dic;2007
27;2008-01-12;1;12;dic;2008
28;2009-01-12;1;12;dic;2009
29;1998-01-12;1;12;dic;1998
30;1999-01-12;1;12;dic;1999
31;2000-01-12;1;12;dic;2000
32;2001-01-12;1;12;dic;2001
33;2002-01-12;1;12;dic;2002
34;2003-01-12;1;12;dic;2003
35;2004-01-12;1;12;dic;2004
36;2017-01-11;1;11;nov;2017
37;2016-01-11;1;11;nov;2016
38;2005-01-11;1;11;nov;2005
39;2006-01-11;1;11;nov;2006
40;2007-01-11;1;11;nov;2007
41;2008-01-11;1;11;nov;2008
42;2009-01-11;1;11;nov;2009
43;2011-01-11;1;11;nov;2011
44;2012-01-11;1;11;nov;2012
45;2013-01-11;1;11;nov;2013
46;2014-01-11;1;11;nov;2014
47;2015-01-11;1;11;nov;2015
48;2020-01-11;1;11;nov;2020
49;2019-01-11;1;11;nov;2019
50;2010-01-03;1;3;mar;2010
51;2010-01-06;1;6;jun;2010
52;2010-01-09;1;9;sep;2010
53;2011-01-03;1;3;mar;2011
54;2011-01-09;1;9;sep;2011
55;2012-01-03;1;3;mar;2012
56;2012-01-06;1;6;jun;2012
57;2012-01-09;1;9;sep;2012
58;2013-01-03;1;3;mar;2013
59;2013-01-06;1;6;jun;2013
60;2013-01-09;1;9;sep;2013
61;2014-01-03;1;3;mar;2014
62;2014-01-06;1;6;jun;2014
63;2014-01-09;1;9;sep;2014
64;2015-01-03;1;3;mar;2015
65;2015-01-06;1;6;jun;2015
66;2015-01-09;1;9;sep;2015
67;2016-01-03;1;3;mar;2016
68;2016-01-06;1;6;jun;2016
69;2016-01-09;1;9;sep;2016
70;2017-01-03;1;3;mar;2017
71;2017-01-09;1;9;sep;2017
72;2018-01-03;1;3;mar;2018
73;2018-01-06;1;6;jun;2018
74;2018-01-09;1;9;sep;2018
75;2019-01-03;1;3;mar;2019
76;2019-01-09;1;9;sep;2019
77;2008-01-09;1;9;sep;2008
78;2009-01-09;1;9;sep;2009
