;llave_municipio;departamento;nombre_municipio
0;68000.0;Santander;Santander
1;68001.0;Santander;Bucaramanga
2;68013.0;Santander;Aguada
3;68020.0;Santander;Albania
4;68051.0;Santander;Aratoca
5;68077.0;Santander;Barbosa
6;68079.0;Santander;Barichara
7;68081.0;Santander;Barrancabermeja
8;68092.0;Santander;Betulia
9;68101.0;Santander;Bolívar
10;68121.0;Santander;Cabrera
11;68132.0;Santander;California
12;68147.0;Santander;Capitanejo
13;68152.0;Santander;Carcasí
14;68160.0;Santander;Cepitá
15;68162.0;Santander;Cerrito
16;68167.0;Santander;Charalá
17;68169.0;Santander;Charta
18;68176.0;Santander;Chima
19;68179.0;Santander;Chipatá
20;68190.0;Santander;Cimitarra
21;68207.0;Santander;Concepción
22;68209.0;Santander;Confines
23;68211.0;Santander;Contratación
24;68217.0;Santander;Coromoro
25;68229.0;Santander;Curití
26;68235.0;Santander;El Carmen de Chucurí
27;68245.0;Santander;El Guacamayo
28;68250.0;Santander;El Peñón
29;68255.0;Santander;El Playón
30;68264.0;Santander;Encino
31;68266.0;Santander;Enciso
32;68271.0;Santander;Florián
33;68276.0;Santander;Floridablanca
34;68296.0;Santander;Galán
35;68298.0;Santander;Gámbita
36;68307.0;Santander;Girón
37;68318.0;Santander;Guaca
38;68320.0;Santander;Guadalupe
39;68322.0;Santander;Guapotá
40;68324.0;Santander;Guavatá
41;68327.0;Santander;Güepsa
42;68344.0;Santander;Hato
43;68368.0;Santander;Jesús María
44;68370.0;Santander;Jordán
45;68377.0;Santander;La Belleza
46;68385.0;Santander;Landázuri
47;68397.0;Santander;La Paz
48;68406.0;Santander;Lebrija
49;68418.0;Santander;Los Santos
50;68425.0;Santander;Macaravita
51;68432.0;Santander;Málaga
52;68444.0;Santander;Matanza
53;68464.0;Santander;Mogotes
54;68468.0;Santander;Molagavita
55;68498.0;Santander;Ocamonte
56;68500.0;Santander;Oiba
57;68502.0;Santander;Onzaga
58;68522.0;Santander;Palmar
59;68524.0;Santander;Palmas del Socorro
60;68533.0;Santander;Páramo
61;68547.0;Santander;Piedecuesta
62;68549.0;Santander;Pinchote
63;68572.0;Santander;Puente Nacional
