,llave_dmgrfc,fk_municipio,fk_indicador,fk_fecha,valor_dmgrfc
0,0,68013.0,0,2018-01-12,57.0
1,1,68121.0,0,2018-01-12,56.0
2,2,68160.0,0,2018-01-12,76.0
3,3,68245.0,0,2018-01-12,54.0
4,4,68322.0,0,2018-01-12,75.0
5,5,68368.0,0,2018-01-12,99.0
6,6,68370.0,0,2018-01-12,60.0
7,7,68425.0,0,2018-01-12,81.0
8,8,68522.0,0,2018-01-12,45.0
9,9,68524.0,0,2018-01-12,99.0
10,10,68673.0,0,2018-01-12,87.0
11,11,68682.0,0,2018-01-12,79.0
12,12,68705.0,0,2018-01-12,89.0
13,13,68867.0,0,2018-01-12,73.0
14,14,15022.0,0,2018-01-12,55.0
15,15,15090.0,0,2018-01-12,43.0
16,16,15092.0,0,2018-01-12,75.0
17,17,15106.0,0,2018-01-12,81.0
18,18,15114.0,0,2018-01-12,61.0
19,19,15226.0,0,2018-01-12,91.0
20,20,15236.0,0,2018-01-12,90.0
21,21,15276.0,0,2018-01-12,98.0
22,22,15317.0,0,2018-01-12,83.0
23,23,15325.0,0,2018-01-12,75.0
24,24,15362.0,0,2018-01-12,97.0
25,25,15380.0,0,2018-01-12,95.0
26,26,15401.0,0,2018-01-12,39.0
27,27,15511.0,0,2018-01-12,59.0
28,28,15522.0,0,2018-01-12,64.0
29,29,15550.0,0,2018-01-12,83.0
30,30,15660.0,0,2018-01-12,59.0
31,31,15720.0,0,2018-01-12,62.0
32,32,15723.0,0,2018-01-12,39.0
33,33,15761.0,0,2018-01-12,58.0
34,34,15774.0,0,2018-01-12,80.0
35,35,15832.0,0,2018-01-12,95.0
36,36,15879.0,0,2018-01-12,83.0
37,37,50245.0,0,2018-01-12,44.0
38,38,50686.0,0,2018-01-12,67.0
39,39,85136.0,0,2018-01-12,70.0
40,40,85279.0,0,2018-01-12,92.0
41,41,25086.0,0,2018-01-12,80.0
42,42,25095.0,0,2018-01-12,82.0
43,43,25324.0,0,2018-01-12,82.0
44,44,25368.0,0,2018-01-12,84.0
