,llave_edcn,fk_municipio,fk_indicador,fk_fecha,valor_edcn
0,0,52885.0,232,2018-01-12,82.97
1,1,52838.0,232,2018-01-12,83.8
2,2,52835.0,232,2018-01-12,64.47
3,3,52788.0,232,2018-01-12,64.43
4,4,52786.0,232,2018-01-12,44.17
5,5,52720.0,232,2018-01-12,65.59
6,6,52699.0,232,2018-01-12,16.8
7,7,52696.0,232,2018-01-12,44.56
8,8,52694.0,232,2018-01-12,58.45
9,9,52693.0,232,2018-01-12,67.33
10,10,52687.0,232,2018-01-12,50.42
11,11,52685.0,232,2018-01-12,31.19
12,12,52683.0,232,2018-01-12,59.14
13,13,52678.0,232,2018-01-12,37.66
14,14,52621.0,232,2018-01-12,40.1
15,15,52612.0,232,2018-01-12,75.27
16,16,52585.0,232,2018-01-12,70.5
17,17,52573.0,232,2018-01-12,79.53
18,18,52565.0,232,2018-01-12,14.84
19,19,52560.0,232,2018-01-12,100.6
20,20,52540.0,232,2018-01-12,46.77
21,21,52520.0,232,2018-01-12,42.64
22,22,52506.0,232,2018-01-12,48.41
23,23,52490.0,232,2018-01-12,56.24
24,24,52480.0,232,2018-01-12,50.65
25,25,52473.0,232,2018-01-12,37.63
26,26,52435.0,232,2018-01-12,74.84
27,27,52427.0,232,2018-01-12,38.06
28,28,52418.0,232,2018-01-12,25.48
29,29,52411.0,232,2018-01-12,64.34
30,30,52405.0,232,2018-01-12,38.79
31,31,52399.0,232,2018-01-12,94.99
32,32,52390.0,232,2018-01-12,37.41
33,33,52385.0,232,2018-01-12,58.42
34,34,52381.0,232,2018-01-12,65.97
35,35,52378.0,232,2018-01-12,98.12
36,36,52356.0,232,2018-01-12,76.1
37,37,52354.0,232,2018-01-12,75.0
38,38,52352.0,232,2018-01-12,81.56
39,39,52323.0,232,2018-01-12,68.24
40,40,52320.0,232,2018-01-12,60.92
41,41,52317.0,232,2018-01-12,92.68
42,42,52287.0,232,2018-01-12,67.92
43,43,52260.0,232,2018-01-12,67.54
44,44,52258.0,232,2018-01-12,63.48
45,45,52256.0,232,2018-01-12,37.22
46,46,52254.0,232,2018-01-12,61.17
47,47,52250.0,232,2018-01-12,49.49
48,48,52240.0,232,2018-01-12,63.64
49,49,52233.0,232,2018-01-12,29.46
50,50,52227.0,232,2018-01-12,67.44
51,51,52224.0,232,2018-01-12,56.55
52,52,52215.0,232,2018-01-12,79.91
53,53,52210.0,232,2018-01-12,56.34
54,54,52207.0,232,2018-01-12,61.43
55,55,52203.0,232,2018-01-12,65.12
56,56,52110.0,232,2018-01-12,60.54
57,57,52083.0,232,2018-01-12,87.5
58,58,52079.0,232,2018-01-12,82.35
59,59,52051.0,232,2018-01-12,76.15
60,60,52036.0,232,2018-01-12,84.21
61,61,52022.0,232,2018-01-12,137.8
62,62,52019.0,232,2018-01-12,27.6
63,63,52001.0,232,2018-01-12,68.53
64,64,52000.0,232,2018-01-12,61.25
65,65,50711.0,232,2018-01-12,59.97
66,66,50689.0,232,2018-01-12,86.96
67,67,50686.0,232,2018-01-12,85.42
68,68,50683.0,232,2018-01-12,57.14
69,69,50680.0,232,2018-01-12,106.69
70,70,50606.0,232,2018-01-12,132.0
71,71,50590.0,232,2018-01-12,49.41
72,72,50577.0,232,2018-01-12,80.41
73,73,50573.0,232,2018-01-12,91.2
74,74,50568.0,232,2018-01-12,155.62
75,75,50450.0,232,2018-01-12,30.43
76,76,50400.0,232,2018-01-12,108.38
77,77,50370.0,232,2018-01-12,43.65
78,78,50350.0,232,2018-01-12,42.38
79,79,50330.0,232,2018-01-12,71.38
80,80,50325.0,232,2018-01-12,44.96
81,81,50318.0,232,2018-01-12,153.01
82,82,50313.0,232,2018-01-12,96.97
83,83,50287.0,232,2018-01-12,77.35
84,84,50270.0,232,2018-01-12,64.94
85,85,50251.0,232,2018-01-12,122.22
86,86,50245.0,232,2018-01-12,47.92
87,87,50226.0,232,2018-01-12,93.99
88,88,50223.0,232,2018-01-12,70.73
89,89,50150.0,232,2018-01-12,117.16
90,90,50124.0,232,2018-01-12,110.23
91,91,50110.0,232,2018-01-12,124.49
92,92,50006.0,232,2018-01-12,101.21
93,93,50001.0,232,2018-01-12,89.12
94,94,50000.0,232,2018-01-12,86.59
95,95,47980.0,232,2018-01-12,129.51
96,96,47960.0,232,2018-01-12,158.47
97,97,47798.0,232,2018-01-12,143.57
98,98,47745.0,232,2018-01-12,74.29
99,99,47720.0,232,2018-01-12,78.43
100,100,47707.0,232,2018-01-12,87.58
101,101,47703.0,232,2018-01-12,125.45
102,102,47692.0,232,2018-01-12,199.0
103,103,47675.0,232,2018-01-12,155.12
104,104,47660.0,232,2018-01-12,160.1
105,105,47605.0,232,2018-01-12,151.67
106,106,47570.0,232,2018-01-12,95.02
107,107,47555.0,232,2018-01-12,114.33
108,108,47551.0,232,2018-01-12,117.66
109,109,47545.0,232,2018-01-12,89.13
110,110,47541.0,232,2018-01-12,127.88
111,111,47460.0,232,2018-01-12,120.05
112,112,47318.0,232,2018-01-12,103.87
113,113,47288.0,232,2018-01-12,125.37
114,114,47268.0,232,2018-01-12,120.67
115,115,47258.0,232,2018-01-12,106.43
116,116,47245.0,232,2018-01-12,137.54
117,117,47205.0,232,2018-01-12,177.78
118,118,47189.0,232,2018-01-12,138.63
119,119,47170.0,232,2018-01-12,145.79
120,120,47161.0,232,2018-01-12,151.55
121,121,47058.0,232,2018-01-12,117.25
122,122,47053.0,232,2018-01-12,86.0
123,123,47030.0,232,2018-01-12,139.08
124,124,47001.0,232,2018-01-12,97.68
125,125,47000.0,232,2018-01-12,113.37
126,126,44855.0,232,2018-01-12,41.03
127,127,44874.0,232,2018-01-12,81.87
128,128,44847.0,232,2018-01-12,86.32
129,129,44650.0,232,2018-01-12,132.6
130,130,44560.0,232,2018-01-12,110.29
131,131,44430.0,232,2018-01-12,139.78
132,132,44420.0,232,2018-01-12,103.08
133,133,44378.0,232,2018-01-12,68.55
134,134,44279.0,232,2018-01-12,157.14
135,135,44110.0,232,2018-01-12,81.01
136,136,44098.0,232,2018-01-12,74.2
137,137,44090.0,232,2018-01-12,90.5
138,138,44078.0,232,2018-01-12,73.53
139,139,44035.0,232,2018-01-12,151.25
140,140,44001.0,232,2018-01-12,68.5
141,141,44000.0,232,2018-01-12,95.79
142,142,41872.0,232,2018-01-12,80.13
143,143,41885.0,232,2018-01-12,82.67
144,144,41807.0,232,2018-01-12,82.73
145,145,41801.0,232,2018-01-12,78.49
146,146,41799.0,232,2018-01-12,66.77
147,147,41797.0,232,2018-01-12,112.92
148,148,41791.0,232,2018-01-12,82.22
149,149,41770.0,232,2018-01-12,101.56
150,150,41676.0,232,2018-01-12,76.25
151,151,41668.0,232,2018-01-12,89.5
152,152,41660.0,232,2018-01-12,91.07
153,153,41615.0,232,2018-01-12,121.64
154,154,41551.0,232,2018-01-12,98.43
155,155,41548.0,232,2018-01-12,96.22
156,156,41530.0,232,2018-01-12,95.67
