,llave_salubridad,fk_municipio,fk_indicador,fk_fecha,valor_salubridad
0,0,1001.0,262,2018-01-12,86.83
1,1,5000.0,262,2018-01-12,95.18
2,2,5001.0,262,2018-01-12,100.0
3,3,5002.0,262,2018-01-12,97.07
4,4,5004.0,262,2018-01-12,85.12
5,5,5021.0,262,2018-01-12,98.42
6,6,5030.0,262,2018-01-12,98.98
7,7,5031.0,262,2018-01-12,85.11
8,8,5034.0,262,2018-01-12,97.24
9,9,5036.0,262,2018-01-12,98.28
10,10,5038.0,262,2018-01-12,97.6
11,11,5040.0,262,2018-01-12,74.29
12,12,5042.0,262,2018-01-12,96.61
13,13,5044.0,262,2018-01-12,94.11
14,14,5045.0,262,2018-01-12,89.96
15,15,5051.0,262,2018-01-12,98.48
16,16,5055.0,262,2018-01-12,85.28
17,17,5059.0,262,2018-01-12,98.98
18,18,5079.0,262,2018-01-12,100.0
19,19,5086.0,262,2018-01-12,97.27
20,20,5088.0,262,2018-01-12,100.0
21,21,5091.0,262,2018-01-12,98.22
22,22,5093.0,262,2018-01-12,97.23
23,23,5101.0,262,2018-01-12,98.8
24,24,5107.0,262,2018-01-12,88.83
25,25,5113.0,262,2018-01-12,95.86
26,26,5120.0,262,2018-01-12,72.19
27,27,5125.0,262,2018-01-12,96.62
28,28,5129.0,262,2018-01-12,99.88
29,29,5134.0,262,2018-01-12,95.23
30,30,5138.0,262,2018-01-12,95.13
31,31,5142.0,262,2018-01-12,93.41
32,32,5145.0,262,2018-01-12,97.48
33,33,5147.0,262,2018-01-12,93.53
34,34,5148.0,262,2018-01-12,95.66
35,35,5150.0,262,2018-01-12,96.9
36,36,5154.0,262,2018-01-12,89.52
37,37,5172.0,262,2018-01-12,86.49
38,38,5190.0,262,2018-01-12,94.62
39,39,5197.0,262,2018-01-12,93.45
40,40,5206.0,262,2018-01-12,98.24
41,41,5209.0,262,2018-01-12,97.47
42,42,5212.0,262,2018-01-12,100.0
43,43,5234.0,262,2018-01-12,86.17
44,44,5237.0,262,2018-01-12,99.64
45,45,5240.0,262,2018-01-12,96.76
46,46,5250.0,262,2018-01-12,82.44
47,47,5264.0,262,2018-01-12,99.7
48,48,5266.0,262,2018-01-12,100.0
49,49,5282.0,262,2018-01-12,98.6
50,50,5284.0,262,2018-01-12,88.14
51,51,5306.0,262,2018-01-12,95.43
52,52,5308.0,262,2018-01-12,100.0
53,53,5310.0,262,2018-01-12,97.08
54,54,5313.0,262,2018-01-12,98.14
55,55,5315.0,262,2018-01-12,98.46
56,56,5318.0,262,2018-01-12,96.37
57,57,5321.0,262,2018-01-12,98.48
58,58,5347.0,262,2018-01-12,98.24
59,59,5353.0,262,2018-01-12,98.12
60,60,5360.0,262,2018-01-12,100.0
61,61,5361.0,262,2018-01-12,86.47
62,62,5364.0,262,2018-01-12,97.35
63,63,5368.0,262,2018-01-12,98.31
64,64,5376.0,262,2018-01-12,99.31
65,65,5380.0,262,2018-01-12,100.0
66,66,5390.0,262,2018-01-12,99.81
67,67,5400.0,262,2018-01-12,97.2
68,68,5411.0,262,2018-01-12,97.29
69,69,5425.0,262,2018-01-12,94.54
70,70,5440.0,262,2018-01-12,98.08
71,71,5467.0,262,2018-01-12,96.56
72,72,5475.0,262,2018-01-12,80.31
73,73,5480.0,262,2018-01-12,78.32
74,74,5483.0,262,2018-01-12,95.17
75,75,5490.0,262,2018-01-12,96.15
76,76,5495.0,262,2018-01-12,87.11
77,77,5501.0,262,2018-01-12,93.96
78,78,5541.0,262,2018-01-12,97.66
79,79,5543.0,262,2018-01-12,96.92
80,80,5576.0,262,2018-01-12,98.2
81,81,5579.0,262,2018-01-12,94.73
82,82,5585.0,262,2018-01-12,94.32
83,83,5591.0,262,2018-01-12,97.8
84,84,5604.0,262,2018-01-12,83.17
85,85,5607.0,262,2018-01-12,98.34
86,86,5615.0,262,2018-01-12,98.71
87,87,5628.0,262,2018-01-12,98.12
88,88,5631.0,262,2018-01-12,100.0
89,89,5642.0,262,2018-01-12,96.47
90,90,5647.0,262,2018-01-12,97.12
91,91,5649.0,262,2018-01-12,91.21
92,92,5652.0,262,2018-01-12,87.54
93,93,5656.0,262,2018-01-12,98.5
94,94,5658.0,262,2018-01-12,98.56
95,95,5659.0,262,2018-01-12,95.78
96,96,5660.0,262,2018-01-12,92.78
97,97,5664.0,262,2018-01-12,99.58
98,98,5665.0,262,2018-01-12,90.73
99,99,5667.0,262,2018-01-12,95.3
100,100,5670.0,262,2018-01-12,98.0
101,101,5674.0,262,2018-01-12,97.93
102,102,5679.0,262,2018-01-12,97.87
103,103,5686.0,262,2018-01-12,98.85
104,104,5690.0,262,2018-01-12,97.36
105,105,5697.0,262,2018-01-12,99.1
106,106,5736.0,262,2018-01-12,72.2
107,107,5756.0,262,2018-01-12,94.79
108,108,5761.0,262,2018-01-12,98.38
109,109,5789.0,262,2018-01-12,98.07
110,110,5790.0,262,2018-01-12,78.74
111,111,5792.0,262,2018-01-12,98.51
112,112,5809.0,262,2018-01-12,99.36
113,113,5819.0,262,2018-01-12,98.07
114,114,5837.0,262,2018-01-12,91.56
115,115,5842.0,262,2018-01-12,94.8
116,116,5847.0,262,2018-01-12,90.91
117,117,5854.0,262,2018-01-12,92.38
118,118,5856.0,262,2018-01-12,98.23
119,119,5858.0,262,2018-01-12,95.02
120,120,5861.0,262,2018-01-12,99.26
121,121,5873.0,262,2018-01-12,91.65
122,122,5885.0,262,2018-01-12,96.54
123,123,5887.0,262,2018-01-12,97.87
124,124,5890.0,262,2018-01-12,96.25
125,125,5893.0,262,2018-01-12,80.59
126,126,5895.0,262,2018-01-12,80.4
127,127,8000.0,262,2018-01-12,92.09
128,128,8001.0,262,2018-01-12,81.09
129,129,8078.0,262,2018-01-12,97.53
130,130,8137.0,262,2018-01-12,79.39
131,131,8141.0,262,2018-01-12,91.21
132,132,8296.0,262,2018-01-12,91.45
133,133,8372.0,262,2018-01-12,95.64
134,134,8421.0,262,2018-01-12,96.76
135,135,8433.0,262,2018-01-12,93.7
136,136,8436.0,262,2018-01-12,78.08
137,137,8520.0,262,2018-01-12,64.44
138,138,8549.0,262,2018-01-12,91.68
139,139,8558.0,262,2018-01-12,90.44
140,140,8560.0,262,2018-01-12,92.57
141,141,8573.0,262,2018-01-12,95.73
142,142,8606.0,262,2018-01-12,98.17
143,143,8634.0,262,2018-01-12,87.73
144,144,8638.0,262,2018-01-12,92.68
145,145,8675.0,262,2018-01-12,89.44
146,146,8685.0,262,2018-01-12,70.96
147,147,8758.0,262,2018-01-12,92.69
148,148,8770.0,262,2018-01-12,43.31
149,149,8849.0,262,2018-01-12,63.78
150,150,8832.0,262,2018-01-12,87.47
151,151,11001.0,262,2018-01-12,94.83
152,152,13000.0,262,2018-01-12,82.86
153,153,13001.0,262,2018-01-12,96.42
154,154,13006.0,262,2018-01-12,90.46
155,155,13030.0,262,2018-01-12,77.83
156,156,13042.0,262,2018-01-12,58.84
157,157,13052.0,262,2018-01-12,94.7
158,158,13062.0,262,2018-01-12,91.8
159,159,13074.0,262,2018-01-12,77.72
160,160,13140.0,262,2018-01-12,90.4
161,161,13160.0,262,2018-01-12,46.65
162,162,13188.0,262,2018-01-12,92.04
163,163,13212.0,262,2018-01-12,92.75
164,164,13222.0,262,2018-01-12,85.87
165,165,13244.0,262,2018-01-12,63.51
166,166,13248.0,262,2018-01-12,93.13
167,167,13268.0,262,2018-01-12,90.54
168,168,13300.0,262,2018-01-12,95.81
169,169,13430.0,262,2018-01-12,92.41
170,170,13433.0,262,2018-01-12,94.37
171,171,13440.0,262,2018-01-12,87.75
